scheme_id,scheme_name,description,benefits,eligibility_criteria,documents_required,application_link,state_applicability,crop_types,farmer_category,scheme_type,required_documents
AIF_001,Agriculture Infrastructure Fund,Medium to long-term debt financing for investment in viable projects for post-harvest management infrastructure,"The scheme provides comprehensive support including ₹1 lakh crore fund. Furthermore, it offers 3% interest subvention. Additionally, the scheme provides 9% interest cap. Moreover, beneficiaries receive credit guarantee. It also aims to ensure loans up to ₹2 crore.","This scheme is primarily targeted at farmers. The scheme also covers fpos. It is applicable to cooperatives. Furthermore, eligibility extends to entrepreneurs. Additionally, it includes processing units.","Project report, Land documents, Bank statements, KYC documents",https://agriinfra.dac.gov.in/,All States,All Crops,"Small,Marginal,Large",Infrastructure,"Project report, Land docs, Bank statements"
PMMSY_001,PM Matsya Sampada Yojana,Holistic development of fisheries sector,"This program offers significant advantages such as infrastructure development. Furthermore, it offers fish production increase. Additionally, the scheme provides market access. Moreover, beneficiaries receive quality seed. It also aims to ensure employment generation.","Applicants must fall under the category of fish farmers. The scheme also covers fisherfolk. It is applicable to fish workers. Furthermore, eligibility extends to self-help groups. Additionally, it includes fpos.","Aadhaar card, Bank account, Project proposal, Land/water body lease",https://pmmsy.dof.gov.in/,All States,Fisheries,"Small,Marginal,Large",Production,"Aadhaar, Bank account, Project proposal"
NBHM_001,National Beekeeping and Honey Mission (NBHM),Promoting scientific beekeeping for honey production,"Under this scheme, beneficiaries are entitled to subsidy for beehives. Furthermore, it offers training support. Additionally, the scheme provides market linkage. Moreover, beneficiaries receive honey processing units. It also aims to ensure quality testing labs.",Applicants must fall under the category of all farmers. The scheme also covers youth. It is applicable to women shgs.,"Aadhaar card, Bank account, Training certificate",https://madhukranti.in/NBB/frm_registration_new.aspx,All States,All Crops,"Small,Marginal,Large",Allied Sector,"Aadhaar, Bank account"
NMMI_001,National Mission on Micro Irrigation (Per Drop More Crop),Promotion of micro irrigation to enhance water use efficiency,"Under this scheme, beneficiaries are entitled to 50-55% subsidy for drip/sprinkler systems. Furthermore, it offers higher subsidy for small farmers. Additionally, the scheme provides on-farm water management.",This scheme is primarily targeted at all farmers with assured water source.,"Aadhaar card, Bank account, Land records, Water source proof",https://pdmc.da.gov.in/,All States,All Crops,"Small,Marginal,Large",Subsidy,"Aadhaar, Bank account, Land docs"
RKVY_001,Rashtriya Krishi Vikas Yojana (RKVY-RAFTAAR),State-specific agriculture development projects and infrastructure creation,"Under this scheme, beneficiaries are entitled to flexible funding for state projects. Furthermore, it offers innovation fund. Additionally, the scheme provides agri-entrepreneurship development. Moreover, beneficiaries receive infrastructure creation.","The scheme is designed to benefit state governments. The scheme also covers farmers. It is applicable to entrepreneurs. Furthermore, eligibility extends to fpos.",As per state guidelines and project requirements,https://rkvy.da.gov.in/,All States,All Crops,"Small,Marginal,Large",Infrastructure,As per state norms
NMSA_001,National Mission for Sustainable Agriculture (NMSA),Promoting sustainable agriculture practices,"The scheme provides comprehensive support including soil health management. Furthermore, it offers water conservation. Additionally, the scheme provides resource efficiency. Moreover, beneficiaries receive climate resilient agriculture.",Eligibility for this program is extended to all farmers.,"Aadhaar card, Bank account, Land records",https://nmsa.dac.gov.in/,All States,All Crops,"Small,Marginal,Large",Sustainability,"Aadhaar, Bank account, Land docs"
KISAN_CALL_001,Kisan Call Center (KCC),Toll-free helpline for agriculture-related queries,"This program offers significant advantages such as 24x7 toll-free service. Furthermore, it offers expert advice in local languages. Additionally, the scheme provides immediate solutions to farm problems.",Applicants must fall under the category of all farmers.,Mobile phone for calling,https://dackkms.gov.in/account/login.aspx,All States,All Crops,"Small,Marginal,Large",Advisory,Mobile phone
MKISAN_001,mKisan Portal and SMS Advisory,Mobile-based agri-advisory services,"Under this scheme, beneficiaries are entitled to free sms advisory. Furthermore, it offers weather alerts. Additionally, the scheme provides market prices. Moreover, beneficiaries receive scheme information. It also aims to ensure expert tips.",This scheme is primarily targeted at all farmers.,Mobile number registration,https://mkisan.gov.in/Home/RegisterForKsewa,All States,All Crops,"Small,Marginal,Large",Advisory,Mobile number
ACABC_001,Agri-Clinics and Agri-Business Centres,Support for agricultural graduates to set up agri-clinics and agri-business centres,"Under this scheme, beneficiaries are entitled to 36-44% subsidy on project cost. Furthermore, it offers bank loan assistance. Additionally, the scheme provides free training. Moreover, beneficiaries receive business development support.",This scheme is primarily targeted at agriculture graduates/diploma holders.,"Educational certificates, Project report, Aadhaar, Bank account",https://www.agriclinics.net,All States,All Crops,"Small,Marginal,Large",Advisory,"Degree certificates, Project report"
AMI_001,Agricultural Marketing Infrastructure (AMI),Development of agricultural marketing infrastructure including storage and grading facilities,"Under this scheme, beneficiaries are entitled to 25-33. 33% subsidy on capital cost. Furthermore, it offers credit-linked back-ended subsidy. Additionally, the scheme provides infrastructure development support.","Applicants must fall under the category of farmers. The scheme also covers fpos. It is applicable to cooperatives. Furthermore, eligibility extends to individuals. Additionally, it includes partnership firms, and ngos.","Land documents, Detailed Project Report, Bank Loan Sanction Letter, KYC documents",https://dmi.gov.in/,All States,All Crops,"Small,Marginal,Large",Infrastructure,"Project Report, Land docs, Bank sanction"
RAD_001,Rainfed Area Development (RAD),Promoting sustainable Integrated Farming Systems in rainfed areas,"Under this scheme, beneficiaries are entitled to financial assistance ₹30000-50000 per hectare. Furthermore, it offers integrated farming support. Additionally, the scheme provides climate risk minimization.",Applicants must fall under the category of farmers in rainfed clusters/districts.,"Land documents, Aadhaar Card, Bank Account Details",https://nmsa.dac.gov.in/,All States,All Crops,"Small,Marginal,Large",Sustainability,"Land docs, Aadhaar"
NMNF_001,National Mission on Natural Farming,Promoting chemical-free natural farming practices,"Key benefits of this initiative include ₹2481 crore allocation. Furthermore, it offers training support. Additionally, the scheme provides financial assistance. Moreover, beneficiaries receive organic certification. It also aims to ensure market linkage.",Eligibility for this program is extended to all farmers willing to adopt natural farming.,"Aadhaar card, Bank account, Land records",https://naturalfarming.dac.gov.in/,All States,All Crops,"Small,Marginal,Large",Organic,"Aadhaar, Bank account, Land docs"
DALHAN_001,Dalhan Atmanirbharta Mission (Pulse Self-Reliance),Focus on Tur Urad and Masoor pulses for self-sufficiency,"Under this scheme, beneficiaries are entitled to ₹11440 crore budget. Furthermore, it offers quality seed distribution. Additionally, the scheme provides technology support. Moreover, beneficiaries receive market procurement. It also aims to ensure msp support.",Eligibility for this program is extended to pulse growing farmers.,"Aadhaar card, Bank account, Land records",https://kisanportal.org/dalhan-aatmanirbharta-mission/,All States,"Tur,Urad,Masoor,Pulses","Small,Marginal,Large",Production,"Aadhaar, Bank account, Land docs"
RB_001,Rythu Bharosa (Telangana),Investment support for agriculture and horticulture crops,"This program offers significant advantages such as ₹10000 per acre per year. Furthermore, it offers direct cash transfer. Additionally, the scheme provides two installments per year.",Eligibility for this program is extended to land owning farmers in telangana.,"Land documents, Aadhaar card, Bank account, Pattadar passbook",https://rythubharosa.telangana.gov.in,Telangana,All Crops,"Small,Marginal,Large",Financial Support,"Land docs, Aadhaar, Bank account"
RYTHU_BHEEMA_001,Rythu Bheema Scheme (Telangana),Life insurance for farmers,"This program offers significant advantages such as ₹5 lakh coverage. Furthermore, it offers accidental death and disability coverage. Additionally, the scheme provides zero premium.",Eligibility for this program is extended to farmers in telangana aged 18-59 years.,"Aadhaar card, Bank account, Pattadar passbook",https://www.myscheme.gov.in/schemes/rythu-bima,Telangana,All Crops,"Small,Marginal,Large",Insurance,"Aadhaar, Bank account"
VLR_001,Vaddi Leni Runalu (Telangana),Interest-free loans for farmers,"Key benefits of this initiative include crop loans up to ₹1 lakh made interest-free. Furthermore, it offers government pays interest component.",The scheme is designed to benefit all eligible farmers in telangana.,"Aadhaar card, Bank account, Land records",https://tgsccfc.cgg.gov.in/getHomeMenuServices?optionId=19,Telangana,All Crops,"Small,Marginal,Large",Credit,"Aadhaar, Bank account, Land docs"
KALIA_001,KALIA Yojana (Now CM Kisan - Odisha),Comprehensive farmer support scheme,"This program offers significant advantages such as ₹25000 over 5 seasons for cultivation. Furthermore, it offers ₹12500 for landless laborers. Additionally, the scheme provides ₹10000 for vulnerable farmers. Moreover, beneficiaries receive life insurance ₹2 lakh. It also aims to ensure accident cover ₹2 lakh.",Eligibility for this program is extended to farmers. The scheme also covers landless laborers in odisha.,"Aadhaar card, Bank account, Land records (for landholders)",https://cmkisan.odisha.gov.in,Odisha,All Crops,"Small,Marginal,Large",Financial Support,"Aadhaar, Bank account, Land docs"
RAITHA_SIRI_001,Raitha Siri Scheme (Karnataka),Direct income support for farmers,"Under this scheme, beneficiaries are entitled to financial assistance per acre regardless of land size. Furthermore, it offers direct benefit transfer.",Eligibility for this program is extended to all farmers in karnataka.,"Land documents, Aadhaar card, Bank account",https://raitamitra.karnataka.gov.in/90/Raita%20Siri/en,Karnataka,All Crops,"Small,Marginal,Large",Financial Support,"Land docs, Aadhaar, Bank account"
KRISHI_BHAGYA_001,Krishi Bhagya Scheme (Karnataka),Micro-irrigation promotion and agricultural development,"This program offers significant advantages such as borewell subsidy. Furthermore, it offers irrigation infrastructure support. Additionally, the scheme provides micro-irrigation subsidy.",Applicants must fall under the category of farmers in karnataka.,"Land documents, Aadhaar card, Bank account",https://raitamitra.karnataka.gov.in/52/Krishi%20Bhagya%20Scheme/en,Karnataka,All Crops,"Small,Marginal,Large",Infrastructure,"Land docs, Aadhaar, Bank account"
MAHADBT_001,MahaDBT Portal (Maharashtra),Unified portal for all agricultural subsidies and schemes,"The scheme provides comprehensive support including single window for all schemes. Furthermore, it offers online application. Additionally, the scheme provides tracking facility. Moreover, beneficiaries receive direct benefit transfer.",This scheme is primarily targeted at all farmers in maharashtra.,"Aadhaar card, Bank account, Land records (7/12 extract), Caste certificate (if applicable)",https://mahadbt.maharashtra.gov.in/registrationlogin/registrationlogin,Maharashtra,All Crops,"Small,Marginal,Large",Technology,"Aadhaar, Bank account, 7/12 extract"
NJDKSY_001,Nanaji Deshmukh Krishi Sanjeevani Yojana (Maharashtra),Drought-prone area development,"The scheme provides comprehensive support including ₹4000 crore world bank project. Furthermore, it offers soil health improvement. Additionally, the scheme provides climate-resilient agriculture. Moreover, beneficiaries receive watershed development.",This scheme is primarily targeted at farmers in drought-prone districts of maharashtra.,"Aadhaar card, Bank account, Land records",https://dbt.mahapocra.gov.in/FarmerLogin/FarmerLogin.aspx?T=I&D=1,Maharashtra,All Crops,"Small,Marginal,Large",Sustainability,"Aadhaar, Bank account, Land docs"
MFMB_001,Meri Fasal Mera Byora (Haryana),Farmer and crop registration portal,"Key benefits of this initiative include single platform for procurement. Furthermore, it offers insurance. Additionally, the scheme provides loans. Moreover, beneficiaries receive natural calamity assistance. It also aims to ensure msp payment.",The scheme is designed to benefit all farmers in haryana.,"Aadhaar card, Mobile number, Bank account, Land records",https://fasal.haryana.gov.in,Haryana,All Crops,"Small,Marginal,Large",Technology,"Aadhaar, Mobile, Bank account, Land docs"
HKYA_001,Haryana Krishi Yantra Anudan Yojana,Agricultural equipment subsidy scheme,"The scheme provides comprehensive support including 40-50% subsidy on farm equipment. Furthermore, it offers 50% for sc/st and women. Additionally, the scheme provides custom hiring centers support.",This scheme is primarily targeted at all farmers in haryana. The scheme also covers special benefits for sc/st and women.,"Aadhaar card, Bank account, Land records, Caste certificate (if applicable)",https://agriharyana.gov.in/MechSMAMScheme.aspx,Haryana,All Crops,"Small,Marginal,Large",Technology,"Aadhaar, Bank account, Land docs"
BBY_HAR_001,Bhavantar Bharpayee Yojana (Haryana),Price deficiency payment for horticulture crops,"This program offers significant advantages such as compensation for price difference between protected price and sale price. Furthermore, it offers direct payment to farmers.",This scheme is primarily targeted at horticulture farmers in haryana.,"J-Form (Sale receipt), Meri Fasal Mera Byora registration",https://fasal.haryana.gov.in,Haryana,"Potato,Onion,Tomato,Cauliflower","Small,Marginal,Large",Financial Support,"Sale receipt, MFMB registration"
UP_KKR_001,UP Kisan Karj Rahat Yojana,Farm loan waiver for small and marginal farmers,"This program offers significant advantages such as debt up to ₹1 lakh waived. Furthermore, it offers relief to small and marginal farmers.",Applicants must fall under the category of small and marginal farmers in uttar pradesh.,"Aadhaar card, Bank account, Land records, Loan documents",https://pmkisan-yojana.org/kisan-karj-mochan-yojana/,Uttar Pradesh,All Crops,"Small,Marginal",Credit,"Aadhaar, Bank account, Loan docs"
UP_MFS_001,Million Farmers School Program (UP),Village-level training centers for farmers,"Key benefits of this initiative include 17000 kisan pathshalas. Furthermore, it offers practical agricultural education. Additionally, the scheme provides technology transfer. Moreover, beneficiaries receive free training.",This scheme is primarily targeted at all farmers in uttar pradesh.,Aadhaar card,Contact local agriculture office,Uttar Pradesh,All Crops,"Small,Marginal,Large",Advisory,Aadhaar
UP_SMAAM_001,Smaam Kisan Yojana (UP Mechanization),State mechanization scheme with subsidies,"This program offers significant advantages such as 50-80% subsidy on modern farm equipment. Furthermore, it offers category-wise differentiation.",This scheme is primarily targeted at all farmers in uttar pradesh.,"Aadhaar card, Bank account, Land records",https://agrimachinery.nic.in/,Uttar Pradesh,All Crops,"Small,Marginal,Large",Technology,"Aadhaar, Bank account, Land docs"
BIHAR_DBT_001,Bihar DBT Agriculture Portal,Direct Benefit Transfer for all agricultural subsidies,"This program offers significant advantages such as unified portal for subsidies. Furthermore, it offers equipment subsidy. Additionally, the scheme provides seed subsidy. Moreover, beneficiaries receive diesel subsidy. It also aims to ensure online application.",The scheme is designed to benefit all farmers in bihar.,"Aadhaar card, Bank account, Land records",https://dbtagriculture.bihar.gov.in,Bihar,All Crops,"Small,Marginal,Large",Technology,"Aadhaar, Bank account, Land docs"
WB_KB_001,Krishak Bandhu Scheme (West Bengal),Farmer welfare scheme,"This program offers significant advantages such as ₹2 lakh death benefit. Furthermore, it offers income support during cultivation seasons. Additionally, the scheme provides two installments per year.",Applicants must fall under the category of all farmers in west bengal.,"Aadhaar card, Bank account, Land records",https://krishakbandhu.wb.gov.in/,West Bengal,All Crops,"Small,Marginal,Large",Financial Support,"Aadhaar, Bank account, Land docs"
IKHEDUT_001,iKhedut Portal (Gujarat),Single-window portal for all agriculture schemes,"Key benefits of this initiative include online applications. Furthermore, it offers scheme information. Additionally, the scheme provides subsidy tracking. Moreover, beneficiaries receive farmer registration.",Applicants must fall under the category of all farmers in gujarat.,"Aadhaar card, Bank account, Land records (7/12 extract)",https://ikhedut.gujarat.gov.in,Gujarat,All Crops,"Small,Marginal,Large",Technology,"Aadhaar, Bank account, 7/12 extract"
GUJ_FAIS_001,Farmers Accidental Insurance Scheme - Gujarat,Comprehensive accident insurance for farmers and family,"Under this scheme, beneficiaries are entitled to enhanced compensation for accidents. Furthermore, it offers coverage for farmer spouse and children. Additionally, the scheme provides revised benefits from 2018.",Eligibility for this program is extended to farmers in gujarat.,"Aadhaar card, Farmer registration",https://www.govtschemes.in/sites/default/files/2023-03/Gujarat%20Farmer%20Accidental%20Insurance%20Scheme%20Application%20Form.pdf?v=1,Gujarat,All Crops,"Small,Marginal,Large",Insurance,Aadhaar
GUJ_PRAKRUTIK_001,Gujarat Prakrutik Krishi Yojana,Promotion of natural farming,"The scheme provides comprehensive support including ₹900 per month for indigenous cow maintenance. Furthermore, it offers ₹20000/ha for vegetable crops. Additionally, the scheme provides natural farming support.",The scheme is designed to benefit farmers in gujarat adopting natural farming with indigenous cow.,"7/12 & 8-A Land Records, Aadhaar Card, Bank Passbook, Indigenous Cow Certificate",https://naturalfarming.dac.gov.in/FarmerRegistration/FarmarRegist,Gujarat,All Crops,"Small,Marginal,Large",Organic,"Land docs, Aadhaar, Cow certificate"
TN_RPS_001,Rice Procurement Scheme (Tamil Nadu),Paddy procurement at Minimum Support Price,"Key benefits of this initiative include msp payment. Furthermore, it offers bonus over msp in some seasons. Additionally, the scheme provides direct procurement by government.",Eligibility for this program is extended to paddy farmers in tamil nadu.,"Aadhaar card, Land records, Farmer registration",https://cfpp.nic.in/#/KMS/2025-2026/4/1/33,Tamil Nadu,Paddy,"Small,Marginal,Large",Financial Support,"Aadhaar, Land docs"
TN_MI_001,Tamil Nadu Micro-Irrigation Scheme,High subsidy for micro-irrigation systems,"Key benefits of this initiative include up to 100% subsidy for small/marginal farmers in some categories. Furthermore, it offers drip and sprinkler irrigation.",This scheme is primarily targeted at all farmers in tamil nadu.,"Aadhaar card, Bank account, Land records, Water source proof",https://tnhorticulture.tn.gov.in:8080/Subsidy/ApplySubsidy,Tamil Nadu,All Crops,"Small,Marginal,Large",Subsidy,"Aadhaar, Bank account, Land docs"
