n,p,k,temperature,humidity,ph,rainfall,npk_total,n_to_p_ratio,n_to_k_ratio,p_to_k_ratio,npk_balance,moisture_index,gdd_proxy,is_low_rainfall,is_high_rainfall,is_very_high_rainfall,is_cool,is_hot,is_very_hot,ph_deviation,is_acidic,is_alkaline,is_very_acidic,is_very_alkaline,ph_deviation_squared,ph_n_interaction,ph_p_interaction,annual_rainfall,yield,label
85,38,41,21.58711777,82.7883708,6.2490506560000005,276.65524589999995,164,2.236842105263158,2.073170731707317,0.926829268292683,1.1097560772605597,229.03837081334376,17.87162310446029,1,0,0,0,0,0,0.25094934399999946,1,0,0,0,0.06297557325403007,531.16930576,237.463924928,1668.5771332937343,2.218494541018379,rice
91,35,39,23.79391957,80.41817957,6.970859754,206.2611855,165,2.6,2.3333333333333335,0.8974358974358975,1.3090908852892567,165.87149053860082,19.134636966543972,1,0,0,0,0,0,0.47085975400000013,0,0,0,0,0.22170890793694065,634.348237614,243.98009139,1668.5771332937343,2.218494541018379,rice
77,38,36,21.8652524,80.1923008,5.953933276,224.55501690000003,151,2.026315789473684,2.138888888888889,1.0555555555555556,1.0596026279549147,180.07583461393884,17.534248975287216,1,0,0,0,0,0,0.5460667240000001,1,0,0,0,0.2981888670600923,458.452862252,226.249464488,1668.5771332937343,2.218494541018379,rice
88,35,40,23.57943626,83.58760316,5.85393208,291.2986618000001,163,2.5142857142857142,2.2,0.875,1.2392637808724458,243.4895694357746,19.709485608373946,1,0,0,0,0,0,0.6460679200000001,1,0,0,0,0.41740375725312656,515.14602304,204.8876228,1668.5771332937343,2.218494541018379,rice
89,45,36,21.32504158,80.47476396,6.442475375,185.4974732,170,1.9777777777777779,2.4722222222222223,1.25,1.1411764504498272,149.27865370946427,17.161276875876858,1,0,0,0,0,0,0.05752462500000011,1,0,0,0,0.0033090824813906375,573.380308375,289.911391875,1668.5771332937343,2.218494541018379,rice
76,40,43,25.15745531,83.11713476,5.070175667,231.3843163,159,1.9,1.7674418604651163,0.9302325581395349,0.8679245119259527,192.32001399257564,20.910156032199474,1,0,0,0,0,0,1.429824333,1,0,1,0,2.0443976232388947,385.333350692,202.80702668,1668.5771332937343,2.218494541018379,rice
67,59,41,21.94766735,80.97384195,6.012632591,213.3560921,167,1.1355932203389831,1.6341463414634145,1.4390243902439024,0.5269460983183336,172.76262480775043,17.77186947170075,1,0,0,0,0,0,0.487367409,1,0,0,0,0.23752699135537325,402.846383597,354.745322869,1668.5771332937343,2.218494541018379,rice
83,41,43,21.0525355,82.67839517,6.254028451,233.1075816,167,2.024390243902439,1.930232558139535,0.9534883720930233,0.982035910502349,192.72960748647822,17.405898493994535,1,0,0,0,0,0,0.24597154900000007,1,0,0,0,0.060502002917459434,519.084361433,256.415166491,1668.5771332937343,2.218494541018379,rice
98,47,37,23.48381344,81.33265073,7.375482851,224.0581164,182,2.0851063829787235,2.6486486486486487,1.2702702702702702,1.2307692104818262,182.23240524382885,19.100007963239996,1,0,0,0,0,0,0.8754828510000001,0,0,0,0,0.7664702223950884,722.797319398,346.64769399700003,1668.5771332937343,2.218494541018379,rice
66,53,41,25.0756354,80.52389148,7.778915154,257.0038865,160,1.2452830188679245,1.6097560975609757,1.2926829268292683,0.47499999109375024,206.9495306646424,20.191877437416462,1,0,0,0,0,0,1.2789151539999999,0,1,0,0,1.6356239711308433,513.408400164,412.282503162,1668.5771332937343,2.218494541018379,rice
97,59,43,26.35927159,84.04403589,6.2865001760000006,271.35861370000003,199,1.6440677966101696,2.255813953488372,1.372093023255814,0.9246231016388478,228.0607306886345,22.153395675442173,1,0,0,0,0,0,0.21349982399999945,1,0,0,0,0.04558217484803074,609.7905170720001,370.903510384,1668.5771332937343,2.218494541018379,rice
97,50,41,24.52922681,80.54498576,7.070959995,260.2634026,188,1.94,2.3658536585365852,1.2195121951219512,1.0957446633657766,209.62912056266148,19.757062241152603,1,0,0,0,0,0,0.5709599949999999,0,0,0,0,0.3259953158904,685.883119515,353.54799975,1668.5771332937343,2.218494541018379,rice
60,49,44,20.77576147,84.49774397,6.244841491,240.0810647,153,1.2244897959183674,1.3636363636363635,1.1136363636363635,0.3529411695501732,202.86308337065608,17.55504973473851,1,0,0,0,0,0,0.25515850900000014,1,0,0,0,0.06510586471510316,374.69048946,305.997233059,1668.5771332937343,2.218494541018379,rice
84,51,35,22.30157427,80.64416466,6.043304899,197.9791215,170,1.6470588235294117,2.4,1.457142857142857,0.96470586532872,159.65860873488145,17.984918276070996,1,0,0,0,0,0,0.4566951010000002,1,0,0,0,0.2085704152774004,507.637611516,308.208549849,1668.5771332937343,2.218494541018379,rice
73,57,41,21.44653958,84.94375962,5.824709117,272.2017204,171,1.280701754385965,1.7804878048780488,1.3902439024390243,0.5614034989227457,231.21837505808048,18.217497027643354,1,0,0,0,0,0,0.6752908829999997,1,0,0,0,0.4560177766629193,425.203765541,332.00841966900003,1668.5771332937343,2.218494541018379,rice
92,35,40,22.17931888,80.33127223,6.3573893660000005,200.0882787,167,2.6285714285714286,2.3,0.875,1.305389198106781,160.73345986281808,17.816929028252588,1,0,0,0,0,0,0.14261063399999951,1,0,0,0,0.020337792929881818,584.879821672,222.50862781,1668.5771332937343,2.218494541018379,rice
85,37,39,24.52783742,82.73685569,6.364134967999999,224.67572310000003,161,2.2972972972972974,2.1794871794871793,0.9487179487179487,1.167701841595618,185.889628791711,20.29356145006322,1,0,0,0,0,0,0.13586503200000077,1,0,0,0,0.018459306920361233,540.95147228,235.47299381599998,1668.5771332937343,2.218494541018379,rice
98,53,38,20.26707606,81.63895217,5.01450727,270.4417274,189,1.849056603773585,2.5789473684210527,1.394736842105263,1.111111093474427,220.78579247980778,16.54582853088092,1,0,0,0,0,0,1.4854927299999998,1,0,1,0,2.2066886508828523,491.42171246000004,265.76888531000003,1668.5771332937343,2.218494541018379,rice
88,54,44,25.7354293,83.88266234,6.149410611,233.1321372,186,1.6296296296296295,2.0,1.2272727272727273,0.8387096638917797,195.5574434535015,21.587563261468425,1,0,0,0,0,0,0.3505893889999996,1,0,0,0,0.12291291967939302,541.148133768,332.068172994,1668.5771332937343,2.218494541018379,rice
95,55,42,26.79533926,82.1480873,5.950660556,193.3473987,192,1.7272727272727273,2.261904761904762,1.3095238095238095,0.9687499848632816,158.8311898763551,22.011858687635975,1,0,0,0,0,0,0.5493394440000001,1,0,0,0,0.30177382473422926,565.31275282,327.28633057999997,1668.5771332937343,2.218494541018379,rice
99,57,35,26.75754171,81.17734011,5.960370061,272.29990560000005,191,1.736842105263158,2.8285714285714287,1.6285714285714286,1.1099476265453252,221.045820488121,21.721060639001813,1,0,0,0,0,0,0.5396299390000001,1,0,0,0,0.29120047106514385,590.0766360389999,339.741093477,1668.5771332937343,2.218494541018379,rice
95,39,36,23.86330467,83.15250801,5.561398642,285.2493645,170,2.4358974358974357,2.638888888888889,1.0833333333333333,1.352941152595156,237.1920006643366,19.842936327172456,1,0,0,0,0,0,0.9386013579999997,1,0,0,0,0.8809725092394435,528.3328709900001,216.894547038,1668.5771332937343,2.218494541018379,rice
60,43,44,21.01944696,82.95221726,7.416245107000001,298.40184710000005,147,1.3953488372093024,1.3636363636363635,0.9772727272727273,0.4489795826738861,247.53094851424504,17.436097309109662,1,0,0,0,0,0,0.9162451070000008,0,0,0,0,0.839505096101443,444.9747064200001,318.89853960100004,1668.5771332937343,2.218494541018379,rice
63,44,41,24.17298839,83.7287574,5.583370042,257.0343554,148,1.4318181818181819,1.5365853658536586,1.0731707317073171,0.5540540428232289,215.2116718675198,20.23974280539327,1,0,0,0,0,0,0.9166299579999997,1,0,0,0,0.8402104799030812,351.752312646,245.66828184800002,1668.5771332937343,2.218494541018379,rice
62,42,36,22.78133816,82.06719137,6.430010215,248.7183228,140,1.4761904761904763,1.7222222222222223,1.1666666666666667,0.6571428430612248,204.11614194453037,18.69600438441404,1,0,0,0,0,0,0.06998978499999975,1,0,0,0,0.00489857000434619,398.66063333,270.06042903,1668.5771332937343,2.218494541018379,rice
64,45,43,25.62980105,83.52842314,5.534878156,209.9001977,152,1.4222222222222223,1.4883720930232558,1.0465116279069768,0.5263157790858728,175.32632530655255,21.408168670984164,1,0,0,0,0,0,0.9651218439999996,1,0,0,0,0.9314601737659595,354.232201984,249.06951702,1668.5771332937343,2.218494541018379,rice
83,60,36,25.59704938,80.14509262,6.903985986,200.834898,179,1.3833333333333333,2.3055555555555554,1.6666666666666667,0.79329607609001,160.95931501538254,20.514778933588136,1,0,0,0,0,0,0.40398598600000035,0,0,0,0,0.16320467688439247,573.030836838,414.23915916000004,1668.5771332937343,2.218494541018379,rice
82,40,40,23.83067496,84.81360127,6.271478837999999,298.5601175,162,2.05,2.05,1.0,1.0370370178326478,253.2195876076935,20.211653640524133,1,0,0,0,0,0,0.22852116200000072,1,0,0,0,0.05222192148183057,514.2612647159999,250.85915351999998,1668.5771332937343,2.218494541018379,rice
85,52,45,26.31355498,82.36698992,7.224285503,265.5355937,182,1.6346153846153846,1.8888888888888888,1.1555555555555554,0.8021977889747618,218.71367569689116,21.673683177970258,1,0,0,0,0,0,0.7242855029999999,0,0,0,0,0.5245894898559629,614.064267755,375.662846156,1668.5771332937343,2.218494541018379,rice
91,35,38,24.8972823,80.52586088,6.13428721,183.6793207,164,2.6,2.3947368421052633,0.9210526315789473,1.3292682683670438,147.90935425221105,20.048750907798865,1,0,0,0,0,0,0.3657127899999999,1,0,0,0,0.13374584476958404,558.22013611,214.70005235,1668.5771332937343,2.218494541018379,rice
76,49,42,24.958779,84.47963372,5.206373153,196.95600080000003,167,1.5510204081632653,1.8095238095238095,1.1666666666666667,0.7305389090322352,166.38770806540026,21.085085080184278,1,0,0,0,0,0,1.2936268469999996,1,0,1,0,1.6734704192791605,395.68435962800004,255.11228449700002,1668.5771332937343,2.218494541018379,rice
74,39,38,23.24113501,84.59201843,7.782051312999999,233.0453455,151,1.8974358974358974,1.9473684210526316,1.0263157894736843,0.9403973323099868,197.13776161561717,19.66014521100038,1,0,0,0,0,0,1.2820513129999993,0,1,0,0,1.643655569165022,575.8717971619999,303.50000120699997,1668.5771332937343,2.218494541018379,rice
79,43,39,21.66628296,80.70960551,7.062779015,210.8142087,161,1.8372093023255813,2.0256410256410255,1.1025641025641026,0.9440993612900741,170.14731620079812,17.486771505696353,1,0,0,0,0,0,0.5627790150000003,0,0,0,0,0.31672021972437053,557.959542185,303.699497645,1668.5771332937343,2.218494541018379,rice
88,55,45,24.63544858,80.41363018,7.730367824,253.7202781,188,1.6,1.9555555555555555,1.2222222222222223,0.8085106253961071,204.02568612300152,19.81025851430526,1,0,0,0,0,0,1.230367824,0,1,0,0,1.513804982334495,680.272368512,425.17023032,1668.5771332937343,2.218494541018379,rice
60,36,43,23.43121862,83.06310136,5.286203711000001,219.9048349,139,1.6666666666666667,1.3953488372093024,0.8372093023255814,0.5899280448216969,182.65977590852765,19.462696872213794,1,0,0,0,0,0,1.2137962889999994,1,0,1,0,1.47330143119017,317.17222266000005,190.30333359600002,1668.5771332937343,2.218494541018379,rice
76,60,39,20.0454142,80.3477562,6.766240045,208.5810155,175,1.2666666666666666,1.9487179487179487,1.5384615384615385,0.6628571314938777,167.59016581342422,16.10604053069618,1,0,0,0,0,0,0.266240045,0,0,0,0,0.07088376156160202,514.23424342,405.9744027,1668.5771332937343,2.218494541018379,rice
93,56,42,23.85724032,82.22572988,7.382762603,195.0948311,191,1.6607142857142858,2.2142857142857144,1.3333333333333333,0.9214659541131003,160.41814883012822,19.616789982345647,1,0,0,0,0,0,0.8827626029999998,0,0,0,0,0.7792698132553352,686.596922079,413.43470576799996,1668.5771332937343,2.218494541018379,rice
65,60,43,21.97199397,81.89918197,5.658169482000001,227.3637009,168,1.0833333333333333,1.5116279069767442,1.3953488372093024,0.4642857059948981,186.20901113381754,17.994883323927727,1,0,0,0,0,0,0.8418305179999992,1,0,0,0,0.708678621036147,367.78101633000006,339.49016892000003,1668.5771332937343,2.218494541018379,rice
95,52,36,26.22916897,83.83625819,5.543360237999999,286.5083725,183,1.8269230769230769,2.638888888888889,1.4444444444444444,1.1147540800859987,240.19789890506695,21.98955381878056,1,0,0,0,0,0,0.9566397620000009,1,0,0,0,0.9151596342394184,526.61922261,288.25473237599994,1668.5771332937343,2.218494541018379,rice
75,38,39,23.44676801,84.79352417,6.215109715,283.9338466,152,1.9736842105263157,1.9230769230769231,0.9743589743589743,0.9605262968317179,240.7575148435817,19.881340899643178,1,0,0,0,0,0,0.28489028500000035,1,0,0,0,0.08116247448738143,466.13322862499996,236.17416917,1668.5771332937343,2.218494541018379,rice
74,54,38,25.65553461,83.47021081,7.120272972,217.3788583,166,1.3703703703703705,1.9473684210526316,1.4210526315789473,0.6746987829873714,181.44659127938118,21.41472882339951,1,0,0,0,0,0,0.6202729720000004,0,0,0,0,0.3847385597937133,526.900199928,384.49474048800005,1668.5771332937343,2.218494541018379,rice
91,36,45,24.44345477,82.45432595,5.950647577000001,267.97619480000003,172,2.5277777777777777,2.022222222222222,0.8,1.174418584167118,220.95796512879897,20.15468586949662,1,0,0,0,0,0,0.5493524229999993,1,0,0,0,0.3017880846559702,541.5089295070001,214.223312772,1668.5771332937343,2.218494541018379,rice
71,46,40,20.2801937,82.1235421,7.236705436,191.9535738,157,1.5434782608695652,1.775,1.15,0.7133757825469597,157.63907399209754,16.654813411181046,1,0,0,0,0,0,0.7367054360000003,0,0,0,0,0.5427348994319505,513.8060859560001,332.888450056,1668.5771332937343,2.218494541018379,rice
99,55,35,21.7238313,80.2389895,6.501697816,277.9626192,189,1.8,2.8285714285714287,1.5714285714285714,1.1428571247165535,223.034396833813,17.430982715804713,1,0,0,0,0,0,0.0016978160000000742,0,0,0,0,2.882579169856252e-06,643.668083784,357.59337988,1668.5771332937343,2.218494541018379,rice
72,40,38,20.41447029,82.20802629,7.592490617,245.1511304,150,1.8,1.894736842105263,1.0526315789473684,0.8799999824000004,201.53390572946418,16.78233310296744,1,0,0,0,0,0,1.0924906170000002,0,1,0,0,1.193535748233041,546.659324424,303.69962468,1668.5771332937343,2.218494541018379,rice
83,58,45,25.75528612,83.51827127,5.875345751,245.6626799,186,1.4310344827586208,1.8444444444444446,1.288888888888889,0.6774193439125913,205.17322340803378,21.51036972806626,1,0,0,0,0,0,0.6246542489999998,1,0,0,0,0.3901929307937537,487.653697333,340.77005355800003,1668.5771332937343,2.218494541018379,rice
93,58,38,20.61521424,83.77345559,6.932400225,279.5451717,189,1.603448275862069,2.4473684210526314,1.5263157894736843,0.9523809372637947,234.18465026808877,17.270077346129757,1,0,0,0,0,0,0.4324002250000003,0,0,0,0,0.1869699545800509,644.713220925,402.07921305,1668.5771332937343,2.218494541018379,rice
70,36,42,21.84106875,80.72886384,6.9462098810000015,202.3838319,148,1.9444444444444444,1.6666666666666667,0.8571428571428571,0.8378378208546389,163.38216808872548,17.63204665238829,1,0,0,0,0,0,0.4462098810000015,0,0,0,0,0.19910325790203548,486.2346916700001,250.06355571600005,1668.5771332937343,2.218494541018379,rice
76,47,42,20.08369642,83.29114712,5.739175027000001,263.6372176,165,1.6170212765957446,1.8095238095238095,1.119047619047619,0.7636363497520664,219.58646277429054,16.727941132316374,1,0,0,0,0,0,0.7608249729999992,1,0,0,0,0.5788546395404495,436.1773020520001,269.74122626900004,1668.5771332937343,2.218494541018379,rice
99,41,36,24.45802087,82.74835604,6.738652179,182.5616319,176,2.4146341463414633,2.75,1.1388888888888888,1.3749999765625003,151.06674915704622,20.238610189845105,1,0,0,0,0,0,0.2386521789999998,0,0,0,0,0.056954862541447944,667.126565721,276.284739339,1668.5771332937343,2.218494541018379,rice
99,54,37,21.14347496,80.33502926,5.5948196260000005,198.6730942,190,1.8333333333333333,2.675675675675676,1.4594594594594594,1.1263157716897512,159.60408835731738,16.985616795696775,1,0,0,0,0,0,0.9051803739999995,1,0,0,0,0.819351509474779,553.8871429740001,302.120259804,1668.5771332937343,2.218494541018379,rice
86,59,35,25.78720567,82.11124033,6.946636369,243.5120414,180,1.4576271186440677,2.4571428571428573,1.6857142857142857,0.8666666522222225,199.9507575464431,21.174194422085087,1,0,0,0,0,0,0.44663636900000014,0,0,0,0,0.1994840461135043,597.410727734,409.851545771,1668.5771332937343,2.218494541018379,rice
69,46,41,23.64124821,80.28597873,5.012139669,263.1103304,156,1.5,1.6829268292682926,1.1219512195121952,0.6538461412721897,211.24070390137672,18.980607509387106,1,0,0,0,0,0,1.4878603310000003,1,0,1,0,2.2137283645634303,345.837637161,230.558424774,1668.5771332937343,2.218494541018379,rice
91,56,37,23.43191632,80.56887849,6.363472207999999,269.5039162,184,1.625,2.4594594594594597,1.5135135135135136,0.9673912885751421,217.13628276896944,18.87883218773928,1,0,0,0,0,0,0.13652779200000076,1,0,0,0,0.018639837988395472,579.075970928,356.354443648,1668.5771332937343,2.218494541018379,rice
61,52,41,24.97669518,83.891805,6.880431223,204.8001847,154,1.1730769230769231,1.4878048780487805,1.2682926829268293,0.40259739475459616,171.81057158816384,20.953400415850002,1,0,0,0,0,0,0.38043122300000043,0,0,0,0,0.14472791543327607,419.70630460300004,357.782423596,1668.5771332937343,2.218494541018379,rice
67,45,38,22.72791041,82.17068809999998,7.300410836,260.8875056,150,1.488888888888889,1.763157894736842,1.1842105263157894,0.6799999864000003,214.373058518446,18.675680374648525,1,0,0,0,0,0,0.8004108360000002,0,0,0,0,0.6406575063862192,489.12752601200003,328.51848762000003,1668.5771332937343,2.218494541018379,rice
79,42,37,24.87300744,82.84022551,6.587918707999999,295.6094492000001,158,1.880952380952381,2.135135135135135,1.135135135135135,0.9999999810126586,244.88353434614896,20.604855454415077,1,0,0,0,0,0,0.08791870799999923,0,0,0,0,0.007729699216389129,520.445577932,276.69258573599996,1668.5771332937343,2.218494541018379,rice
78,43,42,21.32376327,83.00320459,7.283736617000001,192.3197536,163,1.813953488372093,1.8571428571428572,1.0238095238095237,0.871165628138056,159.63155854759188,17.69940685328537,1,0,0,0,0,0,0.7837366170000006,0,0,0,0,0.6142430848266057,568.1314561260001,313.200674531,1668.5771332937343,2.218494541018379,rice
75,54,36,26.29465461,84.56919326,7.023936392,257.4914906,165,1.3888888888888888,2.0833333333333335,1.5,0.727272714049587,217.75847631356876,22.2371772741804,1,0,0,0,0,0,0.5239363920000004,0,0,0,0,0.2745093428619781,526.7952294,379.292565168,1668.5771332937343,2.218494541018379,rice
97,36,45,22.2286982,81.85872947,6.939083505,278.0791793,178,2.6944444444444446,2.1555555555555554,0.8,1.2696628999495019,227.63208309558325,18.19612992424076,1,0,0,0,0,0,0.43908350500000015,0,0,0,0,0.19279432436308516,673.091099985,249.80700618,1668.5771332937343,2.218494541018379,rice
67,47,44,26.73072391,81.78596776,7.868474653,280.4044392,158,1.425531914893617,1.5227272727272727,1.0681818181818181,0.5443037871334724,229.3314842417208,21.86198123904721,1,0,0,0,0,0,1.3684746529999998,0,1,0,0,1.87272287590347,527.1878017509999,369.81830869099997,1668.5771332937343,2.218494541018379,rice
73,35,38,24.88921174,81.97927117,5.005306977,185.9461429,146,2.085714285714286,1.9210526315789473,0.9210526315789473,0.9999999794520553,152.43729271814672,20.403994384410076,1,0,0,0,0,0,1.494693023,1,0,1,0,2.2341072330048783,365.387409321,175.185744195,1668.5771332937343,2.218494541018379,rice
77,36,37,26.88444878,81.46033732,6.136131869,194.5766559,150,2.138888888888889,2.081081081081081,0.972972972972973,1.0799999784000005,158.50280024211568,21.900162662810622,1,0,0,0,0,0,0.36386813100000026,1,0,0,0,0.13240001675743335,472.482153913,220.90074728399998,1668.5771332937343,2.218494541018379,rice
81,41,38,22.67846116,83.72874389,7.5240800760000015,200.9133156,160,1.975609756097561,2.1315789473684212,1.0789473684210527,1.0374999805468754,168.22219545963142,18.988390662849525,1,0,0,0,0,0,1.0240800760000015,0,1,0,0,1.048740002060169,609.4504861560001,308.48728311600007,1668.5771332937343,2.218494541018379,rice
68,57,43,26.08867875,80.37979919,5.706943251,182.9043504,168,1.1929824561403508,1.5813953488372092,1.3255813953488371,0.4642857059948981,147.01814956129397,20.9700275905742,1,0,0,0,0,0,0.7930567489999998,1,0,0,0,0.6289390071344486,388.072141068,325.295765307,1668.5771332937343,2.218494541018379,rice
72,45,35,25.42977518,82.94682591,5.758506323,195.3574542,152,1.6,2.057142857142857,1.2857142857142858,0.8421052465373965,162.042807437482,21.09319134785899,1,0,0,0,0,0,0.7414936770000002,1,0,0,0,0.5498128730309807,414.612455256,259.132784535,1668.5771332937343,2.218494541018379,rice
61,53,43,26.40323239,81.05635517,6.349606327,223.3671883,157,1.150943396226415,1.4186046511627908,1.2325581395348837,0.3566878912734797,181.0533014816907,21.40149782239888,1,0,0,0,0,0,0.15039367299999995,1,0,0,0,0.022618256878430915,387.325985947,336.529135331,1668.5771332937343,2.218494541018379,rice
67,43,39,26.04371967,84.96907151,5.9999690260000005,186.7536773,149,1.558139534883721,1.7179487179487178,1.1025641025641026,0.6979865631277874,158.68286561259163,22.12910679026624,1,0,0,0,0,0,0.5000309739999995,1,0,0,0,0.2500309749593882,401.997924742,257.998668118,1668.5771332937343,2.218494541018379,rice
67,58,39,25.2827223,80.54372813,5.453592032,220.1156708,164,1.1551724137931034,1.7179487179487178,1.4871794871794872,0.5731707212224869,177.2893674606778,20.363647113174885,1,0,0,0,0,0,1.0464079679999996,1,0,1,0,1.094969635493888,365.390666144,316.30833785600004,1668.5771332937343,2.218494541018379,rice
66,60,38,22.08576562,83.47038318,6.372576327000001,231.7364957,164,1.1,1.736842105263158,1.5789473684210527,0.6097560864069009,193.43134092869423,18.4350731912507,1,0,0,0,0,0,0.12742367299999913,1,0,0,0,0.016236792440810707,420.59003758200004,382.35457962000004,1668.5771332937343,2.218494541018379,rice
82,43,38,23.28617173,81.43321641,5.105588355,242.3170629,163,1.9069767441860466,2.1578947368421053,1.131578947368421,1.0184048892318118,197.32657822971282,18.96267861849514,1,0,0,0,0,0,1.394411645,1,0,1,0,1.944383835711606,418.65824511,219.54029926500002,1668.5771332937343,2.218494541018379,rice
84,50,44,25.48591986,81.40633547,5.9353444060000005,182.6549356,178,1.68,1.9090909090909092,1.1363636363636365,0.8314606601439215,148.69268962704845,20.747153418846953,1,0,0,0,0,0,0.5646555939999995,1,0,0,0,0.3188359398354923,498.56893010400006,296.7672203,1668.5771332937343,2.218494541018379,rice
